field,numeric,vat_mandatory,gfbioMandatory,globalField,unit
/DataSets/DataSet/DatasetGUID,false,false,false,true,
/DataSets/DataSet/TechnicalContacts/TechnicalContact/Name,false,false,true,true,
/DataSets/DataSet/TechnicalContacts/TechnicalContact/Name,false,false,true,true,
/DataSets/DataSet/TechnicalContacts/TechnicalContact/Name,false,false,true,true,
/DataSets/DataSet/ContentContacts/ContentContact/Email,false,false,true,true,
/DataSets/DataSet/Metadata/Description/Representation/Title,false,false,true,true,
/DataSets/DataSet/Metadata/Description/Representation/Details,false,false,true,true,
/DataSets/DataSet/Metadata/Description/Representation/URI,false,false,true,true,
/DataSets/DataSet/Metadata/RevisionData/DateModified,false,false,true,true,
/DataSets/DataSet/Metadata/IPRStatements/Licenses/License/Text,false,false,true,true,
/DataSets/DataSet/Metadata/IPRStatements/Licenses/License/Details,false,false,false,true,
/DataSets/DataSet/Metadata/IPRStatements/Licenses/License/URI,false,false,false,true,
/DataSets/DataSet/Units/Unit/SourceInstitutionID,false,false,true,false,
/DataSets/DataSet/Units/Unit/SourceID,false,false,true,false,
/DataSets/DataSet/Units/Unit/UnitID,false,false,true,false,
/DataSets/DataSet/Units/Unit/DateLastEdited,false,false,false,false,
/DataSets/DataSet/Units/Unit/Identifications/Identification/Result/TaxonIdentified/HigherTaxa/HigherTaxon/HigherTaxonName,false,false,true,false,
/DataSets/DataSet/Units/Unit/Identifications/Identification/Result/TaxonIdentified/HigherTaxa/HigherTaxon/HigherTaxonRank,false,false,true,false,
/DataSets/DataSet/Units/Unit/Identifications/Identification/Result/TaxonIdentified/ScientificName/FullScientificNameString,false,false,true,false,
/DataSets/DataSet/Units/Unit/RecordBasis,false,false,true,false,
/DataSets/DataSet/Units/Unit/MultiMediaObjects/MultiMediaObject/FileURI,false,false,false,false,
/DataSets/DataSet/Units/Unit/MultiMediaObjects/MultiMediaObject/Format,false,false,false,false,
/DataSets/DataSet/Units/Unit/MultiMediaObjects/MultiMediaObject/IPR/Licenses/License/Text,false,false,false,false,
/DataSets/DataSet/Units/Unit/MultiMediaObjects/MultiMediaObject/IPR/Licenses/License/Details,false,false,false,false,
/DataSets/DataSet/Units/Unit/MultiMediaObjects/MultiMediaObject/IPR/Licenses/License/URI,false,false,false,false,
/DataSets/DataSet/Units/Unit/MultiMediaObjects/MultiMediaObject/Creator,false,false,false,false,
/DataSets/DataSet/Units/Unit/Gathering/DateTime/ISODateTimeBegin,false,false,true,false,
/DataSets/DataSet/Units/Unit/Gathering/Agents/GatheringAgent/AgentText,false,false,false,false,
/DataSets/DataSet/Units/Unit/Gathering/LocalityText,false,false,false,false,
/DataSets/DataSet/Units/Unit/Gathering/Country/Name,false,false,true,false,
/DataSets/DataSet/Units/Unit/Gathering/Country/ISO3166Code,false,false,false,false,
/DataSets/DataSet/Units/Unit/Gathering/SiteCoordinateSets/SiteCoordinates/CoordinatesLatLong/LongitudeDecimal,true,true,true,false,°
/DataSets/DataSet/Units/Unit/Gathering/SiteCoordinateSets/SiteCoordinates/CoordinatesLatLong/LatitudeDecimal,true,true,true,false,°
/DataSets/DataSet/Units/Unit/Gathering/SiteCoordinateSets/SiteCoordinates/CoordinatesLatLong/SpatialDatum,false,false,true,false,
/DataSets/DataSet/Units/Unit/RecordURI,false,false,true,false,
